document_id,title,category,tags,content,popularity
DOC_00001,Document about Arts and python,Arts,['python'],Arts document about python. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.72918866945795
DOC_00002,Document about History and painting medieval,History,['painting' 'medieval'],History document about painting medieval. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,1.419990968922539
DOC_00003,Document about History and poetry java chemistry,History,['poetry' 'java' 'chemistry'],History document about poetry java chemistry. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.479815801163674
DOC_00004,Document about Business and marketing finance,Business,['marketing' 'finance'],Business document about marketing finance. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,3.3290198344001523
DOC_00005,Document about History and python statistics,History,['python' 'statistics'],History document about python statistics. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,6.381099809299767
DOC_00006,Document about Arts and chemistry statistics,Arts,['chemistry' 'statistics'],Arts document about chemistry statistics. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,1.1407276606707453
DOC_00007,Document about Programming and calculus,Programming,['calculus'],Programming document about calculus. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,6.8596932295175
DOC_00008,Document about History and painting poetry finance,History,['painting' 'poetry' 'finance'],History document about painting poetry finance. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,5.249934326457543
DOC_00009,Document about Literature and finance java calculus,Literature,['finance' 'java' 'calculus'],Literature document about finance java calculus. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,4.954028516791931
DOC_00010,Document about Science and chemistry java painting,Science,['chemistry' 'java' 'painting'],Science document about chemistry java painting. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,3.607763076223912
DOC_00011,Document about Business and finance marketing,Business,['finance' 'marketing'],Business document about finance marketing. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,3.4491902444617177
DOC_00012,Document about Science and painting java,Science,['painting' 'java'],Science document about painting java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.486187335212673
DOC_00013,Document about Business and medieval,Business,['medieval'],Business document about medieval. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.789534602493877
DOC_00014,Document about History and finance chemistry,History,['finance' 'chemistry'],History document about finance chemistry. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,7.553947137506736
DOC_00015,Document about Literature and marketing java,Literature,['marketing' 'java'],Literature document about marketing java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,7.40034579194216
DOC_00016,Document about Arts and chemistry marketing physics,Arts,['chemistry' 'marketing' 'physics'],Arts document about chemistry marketing physics. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.322242564507064
DOC_00017,Document about Business and physics music,Business,['physics' 'music'],Business document about physics music. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.103762514469974
DOC_00018,Document about Science and physics java world war II,Science,['physics' 'java' 'world war II'],Science document about physics java world war II. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.086987696743714
DOC_00019,Document about History and world war II medieval,History,['world war II' 'medieval'],History document about world war II medieval. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,5.445043436650911
DOC_00020,Document about History and marketing calculus java,History,['marketing' 'calculus' 'java'],History document about marketing calculus java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,4.150705669252082
DOC_00021,Document about Programming and novel chemistry java,Programming,['novel' 'chemistry' 'java'],Programming document about novel chemistry java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,8.95144620039633
DOC_00022,Document about History and java,History,['java'],History document about java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,2.5254347201748324
DOC_00023,Document about Programming and python physics,Programming,['python' 'physics'],Programming document about python physics. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,3.9029568781474047
DOC_00024,Document about Programming and painting,Programming,['painting'],Programming document about painting. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,8.184656610700976
DOC_00025,Document about Programming and physics calculus,Programming,['physics' 'calculus'],Programming document about physics calculus. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,6.317499345121097
DOC_00026,Document about Business and java,Business,['java'],Business document about java. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,8.578207675107834
DOC_00027,Document about History and marketing physics,History,['marketing' 'physics'],History document about marketing physics. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,2.6590030689823303
DOC_00028,Document about Business and medieval statistics painting,Business,['medieval' 'statistics' 'painting'],Business document about medieval statistics painting. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,9.593787525968748
DOC_00029,Document about Arts and calculus novel marketing,Arts,['calculus' 'novel' 'marketing'],Arts document about calculus novel marketing. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,3.802719784521648
DOC_00030,Document about Business and medieval,Business,['medieval'],Business document about medieval. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,6.715842857808794
DOC_00031,Document about Mathematics and chemistry world war II marketing,Mathematics,['chemistry' 'world war II' 'marketing'],Mathematics document about chemistry world war II marketing. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. This is a sample content for the document. ,7.094515081446835
